"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-128.41,0,0,0,7.4152,0,2.4585e+05,1e-15,7.8588,-0,0,-1.324e+05,-1.2842,1.324e+05,0,-0.00046183,2.7724,0,-0,-0,0,1,1.125,-0.375,0.0127,0.025
-129.54,0,0,0,7.3948,0,2.4572e+05,1e-15,7.848,-0,0,-1.3223e+05,-1.2566,1.3223e+05,0,-0.00046151,2.7103,0,-0,-0,0,1,1.14,-0.36,0.0127,0.025
-130.68,0,0,0,7.3749,0,2.4559e+05,1e-15,7.8374,-0,0,-1.3191e+05,-1.2032,1.3191e+05,0,-0.00044899,2.5917,0,-0,-0,0,1,1.155,-0.345,0.0127,0.025
-131.81,0,0,0,7.3558,0,2.4547e+05,1e-15,7.8273,-0,0,-1.3176e+05,-1.1785,1.3176e+05,0,-0.00043804,2.5363,0,-0,-0,0,1,1.17,-0.33,0.0127,0.025
-132.93,0,0,0,7.3372,0,2.4534e+05,1e-15,7.8174,-0,0,-1.3148e+05,-1.1324,1.3148e+05,0,-0.00041597,2.4336,0,-0,-0,0,1,1.185,-0.315,0.0127,0.025
-134.06,-2.2585e-13,-4.0833e-18,0,7.3192,-7.3101e-19,2.4523e+05,9.9825e-16,7.8078,-0,0,-1.3135e+05,-1.1113,1.3135e+05,0,-0.00040425,2.3861,0,-0,-0,0,1,1.2,-0.3,0.0127,0.025
-135.18,0,0,0,7.3018,0,2.4512e+05,1e-15,7.7985,-0,0,-1.3111e+05,-1.0719,1.3111e+05,0,-0.0003931,2.2976,0,-0,-0,0,1,1.215,-0.285,0.0127,0.025
-136.3,0,0,0,7.2848,0,2.4501e+05,1e-15,7.7894,-0,0,-1.3089e+05,-1.0344,1.3089e+05,0,-0.00040365,2.2132,0,-0,-0,0,1,1.23,-0.27,0.0127,0.025
-137.42,0,0,0,7.2684,0,2.449e+05,1e-15,7.7806,-0,0,-1.3068e+05,-0.9974,1.3068e+05,0,-0.00041968,2.1305,0,-0,-0,0,1,1.245,-0.255,0.0127,0.025
-138.54,0,0,0,7.2526,0,2.448e+05,1e-15,7.7722,-0,0,-1.305e+05,-0.96042,1.305e+05,0,-0.00045135,2.0473,0,-0,-0,0,1,1.26,-0.24,0.0127,0.025
-139.67,0,0,0,7.2374,0,2.447e+05,1e-15,7.764,-0,0,-1.3032e+05,-0.92158,1.3032e+05,0,-0.00050352,1.9606,0,-0,-0,0,1,1.275,-0.225,0.0127,0.025
-140.81,0,0,0,7.2228,0,2.446e+05,1e-15,7.7562,-0,0,-1.3017e+05,-0.87988,1.3017e+05,0,-0.0005718,1.8678,0,-0,-0,0,1,1.29,-0.21,0.0127,0.025
-141.96,0,0,0,7.2089,0,2.4451e+05,1e-15,7.7487,-0,0,-1.3003e+05,-0.83382,1.3003e+05,0,-0.00067827,1.7653,0,-0,-0,0,1,1.305,-0.195,0.0127,0.025
-143.13,0,0,0,7.196,0,2.4443e+05,1e-15,7.7418,-0,0,-1.2984e+05,-0.75114,1.2984e+05,0,-0.00091278,1.5832,0,-0,-0,0,1,1.32,-0.18,0.0127,0.025
-144.35,0,0,0,7.1842,0,2.4435e+05,1e-15,7.7354,-0,0,-1.2974e+05,-0.68327,1.2974e+05,0,-0.0011463,1.4345,0,-0,-0,0,1,1.335,-0.165,0.0127,0.025
-145.64,0,0,0,7.1739,0,2.4429e+05,1e-15,7.7299,-0,0,-1.2961e+05,-0.55348,1.2961e+05,0,-0.0016447,1.1527,0,-0,-0,0,1,1.35,-0.15,0.0127,0.025
-147.02,0,0,0,7.1658,0,2.4423e+05,1e-15,7.7255,-0,0,-1.2952e+05,-0.3791,1.2952e+05,0,-0.0023718,0.77637,0,-0,-0,0,1,1.365,-0.135,0.0127,0.025
-148.56,2.2495e-13,4.027e-19,0,7.1607,7.3084e-19,2.442e+05,1.0018e-15,7.7228,-0,0,-1.2947e+05,-0.14511,1.2947e+05,0,-0.0035191,0.27115,0,-0,-0,0,1,1.38,-0.12,0.0127,0.025
-150.34,0,0,0,7.1605,0,2.442e+05,1e-15,7.7226,-0,0,-1.2949e+05,0.31861,1.2949e+05,0,-0.0056655,-0.73476,0,-0,-0,0,1,1.395,-0.105,0.0127,0.025
-152.5,0,0,0,7.1673,0,2.4424e+05,1e-15,7.7263,-0,0,-1.2961e+05,0.95829,1.2961e+05,0,-0.0086729,-2.0955,0,-0,-0,0,1,1.41,-0.09,0.0127,0.025
-155.28,0,0,0,7.185,0,2.4436e+05,1e-15,7.7359,-0,0,-1.2985e+05,1.8595,1.2985e+05,0,-0.01345,-4.0046,0,-0,-0,0,1,1.425,-0.075,0.0127,0.025
-159.03,0,0,0,7.2202,0,2.4459e+05,1e-15,7.7548,-0,0,-1.3036e+05,3.5017,1.3036e+05,0,-0.022882,-7.4706,0,-0,-0,0,1,1.44,-0.06,0.0127,0.025
-164.44,-2.2564e-13,2.2208e-17,0,7.2848,-7.247e-19,2.4501e+05,9.9825e-16,7.7894,-0,0,-1.3116e+05,5.9686,1.3116e+05,0,-0.039021,-12.666,0,-0,-0,0,1,1.455,-0.045,0.0127,0.025
-172.81,0,0,0,7.4028,0,2.4577e+05,1e-15,7.8522,-0,0,-1.3293e+05,11.768,1.3293e+05,0,-0.087108,-24.889,0,-0,-0,0,1,1.47,-0.03,0.0127,0.025
-187.33,0,0,0,7.6368,0,2.4728e+05,1e-15,7.9754,-0,0,-1.3585e+05,23.741,1.3585e+05,0,-0.24867,-50.457,0,-0,-0,0,1,1.485,-0.015,0.0127,0.025
-228.52,0,0,0,4.4168,0,1.7334e+05,1e-15,5.4477,-0,0,-1.4685e+05,156.32,1.4682e+05,0,-34.477,-825.86,0,-0,-0,0,1,1.5,0,0.0127,0.025
