"p","U:0","U:1","U:2","k","nut","omega","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-62.444,44.2,0,0,3.207,0.0083342,384.8,0,-0,0,1.2061e-11,-0,-0,0,1.2061e-11,3.4737e-10,0,-0,-0,0,1,0,-1.5,0.0127,0.025
-62.444,44.2,1.2375e-13,0,3.1545,0.0083233,378.99,0,-0,0,1.6225e-11,-0,-0,0,1.6225e-11,1.1603e-09,0,-0,-0,0,1,0.015,-1.485,0.0127,0.025
-62.444,44.2,3.263e-13,0,3.1188,0.0083158,375.04,0,-0,0,3.5304e-11,-0,-0,0,3.5304e-11,2.6388e-09,0,-0,-0,0,1,0.03,-1.47,0.0127,0.025
-62.444,44.2,7.8994e-13,0,3.0838,0.0083083,371.17,0,-0,0,6.994e-11,-0,-0,0,6.994e-11,5.6594e-09,0,-0,-0,0,1,0.045,-1.455,0.0127,0.025
-62.444,44.2,1.8717e-12,0,3.0496,0.0083009,367.38,0,-0,0,1.5852e-10,-0,-0,0,1.5852e-10,1.2215e-08,0,-0,-0,0,1,0.06,-1.44,0.0127,0.025
-62.444,44.2,4.3009e-12,0,3.016,0.0082935,363.66,0,-0,0,3.1501e-10,-0,-0,0,3.1501e-10,2.5805e-08,0,-0,-0,0,1,0.075,-1.425,0.0127,0.025
-62.444,44.2,1.0123e-11,0,2.9832,0.0082861,360.02,0,-0,0,7.248e-10,-0,-0,0,7.248e-10,5.5641e-08,0,-0,-0,0,1,0.09,-1.41,0.0127,0.025
-62.444,44.2,2.2599e-11,0,2.951,0.0082787,356.45,0,-0,0,1.4139e-09,-0,-0,0,1.4139e-09,1.1702e-07,0,-0,-0,0,1,0.105,-1.395,0.0127,0.025
-62.444,44.2,5.334e-11,0,2.9195,0.0082711,352.97,0,-0,0,3.3172e-09,-0,-0,0,3.3172e-09,2.5277e-07,0,-0,-0,0,1,0.12,-1.38,0.0127,0.025
-62.444,44.2,1.2579e-10,0,2.8886,0.0082631,349.58,0,-0,0,1.5223e-08,-0,-0,0,1.5223e-08,1.1482e-06,0,-0,-0,0,1,0.135,-1.365,0.0127,0.025
-62.444,44.2,3.0518e-10,0,2.8584,0.0082545,346.28,0,-0,0,2.8286e-08,-0,-0,0,2.8286e-08,2.397e-06,0,-0,-0,0,1,0.15,-1.35,0.0127,0.025
-62.444,44.2,7.2299e-10,0,2.8288,0.008245,343.09,0,-0,0,7.0073e-08,-0,-0,0,7.0073e-08,5.2191e-06,0,-0,-0,0,1,0.165,-1.335,0.0127,0.025
-62.444,44.2,1.6617e-09,0,2.7997,0.0082344,340,0,-0,0,1.2583e-07,-0,-0,0,1.2583e-07,1.0842e-05,0,-0,-0,0,1,0.18,-1.32,0.0127,0.025
-62.444,44.2,3.9955e-09,0,2.7712,0.0082222,337.04,0,-0,0,3.2374e-07,-0.0002861,-0,0,3.2374e-07,2.374e-05,0,-0,-0,0,1,0.195,-1.305,0.0127,0.025
-62.444,44.2,8.7374e-09,0,2.7433,0.0082085,334.2,0,-0,0,5.5697e-07,-0,-0,0,5.5697e-07,4.902e-05,0,-0,-0,0,1,0.21,-1.29,0.0127,0.025
-62.444,44.2,2.1535e-08,0,2.7159,0.0081929,331.5,0,-0,0,1.5031e-06,-0,-0,0,1.5031e-06,0.00010812,0,-0,-0,0,1,0.225,-1.275,0.0127,0.025
-62.444,44.2,4.4743e-08,0,2.6891,0.0081754,328.93,0,-0,0,2.4512e-06,-0.00057221,-0,0,2.4512e-06,0.00022163,0,-0,-0,0,1,0.24,-1.26,0.0127,0.025
-62.444,44.2,1.1839e-07,0,2.6629,0.0081558,326.51,0,-0,0,1.0733e-05,-0.0022888,-0,0,1.0733e-05,0.0010034,0,-0,-0,0,1,0.255,-1.245,0.0127,0.025
-62.443,44.2,2.7416e-07,0,2.6373,0.0081343,324.22,0,-0,0,3.3269e-05,-0.002861,-0,0,3.3269e-05,0.0022656,0,-0,-0,0,1,0.27,-1.23,0.0127,0.025
-62.441,44.2,6.4885e-07,0,2.6123,0.0081111,322.07,0,-0,0,4.7045e-05,-0.0094414,-0,0,4.7045e-05,0.0045715,0,-0,-0,0,1,0.285,-1.215,0.0127,0.025
-62.435,44.2,1.6198e-06,0,2.5879,0.0080865,320.03,0,-0,0,0.0001619,-0.013447,-0,0,0.0001619,0.010564,0,-0,-0,0,1,0.3,-1.2,0.0127,0.025
-62.426,44.199,3.495e-06,0,2.5641,0.0080607,318.1,0,-0,0,0.00021167,-0.045776,-0,0,0.00021167,0.021291,0,-0,-0,0,1,0.315,-1.185,0.0127,0.025
-62.388,44.198,9.8439e-06,0,2.5409,0.0080342,316.26,0,-0,0,0.00085599,-0.060082,-0,0,0.00085599,0.051911,0,-0,-0,0,1,0.33,-1.17,0.0127,0.025
