"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.23077e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.13674e+00,0.00000e+00,4.38097e+05,1.00000e-15,2.85034e+00,-0.00000e+00,0.00000e+00,-9.78496e+04,2.11952e+00,4.89248e+04,0.00000e+00,4.89248e+04,-3.53093e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,2.60000e-01,2.60000e-01,0.00000e+00,2.50000e-02
6.98845e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.14565e+00,0.00000e+00,4.38167e+05,1.00000e-15,2.85627e+00,-0.00000e+00,0.00000e+00,-9.78496e+04,2.11952e+00,4.89248e+04,0.00000e+00,4.89248e+04,-3.53093e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,2.65000e-01,2.65000e-01,0.00000e+00,2.50000e-02
6.74613e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.15456e+00,0.00000e+00,4.38238e+05,1.00000e-15,2.86220e+00,-0.00000e+00,0.00000e+00,-9.78496e+04,2.11952e+00,4.89248e+04,0.00000e+00,4.89248e+04,-3.53093e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,2.70000e-01,2.70000e-01,0.00000e+00,2.50000e-02
6.53180e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.16293e+00,0.00000e+00,4.38304e+05,1.00000e-15,2.86776e+00,-0.00000e+00,0.00000e+00,-9.83352e+04,1.92702e+00,4.91676e+04,0.00000e+00,4.91676e+04,-3.27035e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,2.75000e-01,2.75000e-01,0.00000e+00,2.50000e-02
6.32385e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.17119e+00,0.00000e+00,4.38370e+05,1.00000e-15,2.87322e+00,-0.00000e+00,0.00000e+00,-9.83352e+04,1.92702e+00,4.91676e+04,0.00000e+00,4.91676e+04,-3.27035e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,2.80000e-01,2.80000e-01,0.00000e+00,2.50000e-02
6.12093e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.17934e+00,0.00000e+00,4.38434e+05,1.00000e-15,2.87862e+00,-0.00000e+00,0.00000e+00,-9.87998e+04,1.76778e+00,4.93999e+04,0.00000e+00,4.93999e+04,-3.05073e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,2.85000e-01,2.85000e-01,0.00000e+00,2.50000e-02
5.93963e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.18703e+00,0.00000e+00,4.38496e+05,1.00000e-15,2.88369e+00,-0.00000e+00,0.00000e+00,-9.87998e+04,1.76778e+00,4.93999e+04,0.00000e+00,4.93999e+04,-3.05073e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,2.90000e-01,2.90000e-01,0.00000e+00,2.50000e-02
5.75833e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.19473e+00,0.00000e+00,4.38557e+05,1.00000e-15,2.88876e+00,-0.00000e+00,0.00000e+00,-9.87998e+04,1.76778e+00,4.93999e+04,0.00000e+00,4.93999e+04,-3.05073e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,2.95000e-01,2.95000e-01,0.00000e+00,2.50000e-02
5.58583e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.20222e+00,0.00000e+00,4.38616e+05,1.00000e-15,2.89369e+00,-0.00000e+00,0.00000e+00,-9.92479e+04,1.63405e+00,4.96239e+04,0.00000e+00,4.96239e+04,-2.86220e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.00000e-01,3.00000e-01,0.00000e+00,2.50000e-02
5.42466e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.20944e+00,0.00000e+00,4.38673e+05,1.00000e-15,2.89842e+00,-0.00000e+00,0.00000e+00,-9.92479e+04,1.63405e+00,4.96239e+04,0.00000e+00,4.96239e+04,-2.86220e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.05000e-01,3.05000e-01,0.00000e+00,2.50000e-02
5.26348e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.21666e+00,0.00000e+00,4.38730e+05,1.00000e-15,2.90316e+00,-0.00000e+00,0.00000e+00,-9.92479e+04,1.63405e+00,4.96239e+04,0.00000e+00,4.96239e+04,-2.86220e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.10000e-01,3.10000e-01,0.00000e+00,2.50000e-02
