"p","U:0","U:1","U:2","k","nut","omega","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-139.46,0,0,0,7.3356,0,2.4533e+05,7.8165,-0,0,-1.3147e+05,-1.0286,1.3147e+05,0,-0.00053154,2.1907,0,-0,-0,0,1,1.275,-0.225,0.0127,0.025
-140.61,0,0,0,7.3193,0,2.4523e+05,7.8078,-0,0,-1.313e+05,-0.98488,1.313e+05,0,-0.00060511,2.0926,0,-0,-0,0,1,1.29,-0.21,0.0127,0.025
-141.77,0,0,0,7.3037,0,2.4513e+05,7.7995,-0,0,-1.3114e+05,-0.93643,1.3114e+05,0,-0.00071451,1.9844,0,-0,-0,0,1,1.305,-0.195,0.0127,0.025
-142.96,0,0,0,7.2891,0,2.4503e+05,7.7917,-0,0,-1.3093e+05,-0.85014,1.3093e+05,0,-0.0009471,1.7936,0,-0,-0,0,1,1.32,-0.18,0.0127,0.025
-144.19,0,0,0,7.2757,0,2.4495e+05,7.7845,-0,0,-1.3081e+05,-0.78005,1.3081e+05,0,-0.001179,1.6402,0,-0,-0,0,1,1.335,-0.165,0.0127,0.025
-145.48,0,0,0,7.2639,0,2.4487e+05,7.7782,-0,0,-1.3067e+05,-0.64811,1.3067e+05,0,-0.0016655,1.3528,0,-0,-0,0,1,1.35,-0.15,0.0127,0.025
-146.88,0,0,0,7.2542,0,2.4481e+05,7.773,-0,0,-1.3056e+05,-0.47244,1.3056e+05,0,-0.0023878,0.97314,0,-0,-0,0,1,1.365,-0.135,0.0127,0.025
-148.43,2.2672e-13,7.4556e-19,0,7.2477,7.3516e-19,2.4477e+05,7.7695,-0,0,-1.305e+05,-0.23723,1.305e+05,0,-0.0034358,0.46756,0,-0,-0,0,1,1.38,-0.12,0.0127,0.025
-150.22,0,0,0,7.2459,0,2.4475e+05,7.7686,-0,0,-1.3049e+05,0.22454,1.3049e+05,0,-0.0057904,-0.53786,0,-0,-0,0,1,1.395,-0.105,0.0127,0.025
-152.4,0,0,0,7.2513,0,2.4479e+05,7.7715,-0,0,-1.3059e+05,0.8668,1.3059e+05,0,-0.0086886,-1.9075,0,-0,-0,0,1,1.41,-0.09,0.0127,0.025
-155.19,0,0,0,7.2676,0,2.4489e+05,7.7802,-0,0,-1.3082e+05,1.7687,1.3082e+05,0,-0.013458,-3.8187,0,-0,-0,0,1,1.425,-0.075,0.0127,0.025
-158.96,0,0,0,7.3013,0,2.4511e+05,7.7982,-0,0,-1.3131e+05,3.4099,1.3131e+05,0,-0.022888,-7.2858,0,-0,-0,0,1,1.44,-0.06,0.0127,0.025
-164.39,-2.2725e-13,2.1894e-17,0,7.3646,-7.2867e-19,2.4552e+05,7.8319,-0,0,-1.321e+05,5.8767,1.321e+05,0,-0.039027,-12.483,0,-0,-0,0,1,1.455,-0.045,0.0127,0.025
-172.79,0,0,0,7.4813,0,2.4628e+05,7.8937,-0,0,-1.3384e+05,11.687,1.3384e+05,0,-0.087566,-24.736,0,-0,-0,0,1,1.47,-0.03,0.0127,0.025
-187.4,0,0,0,7.7147,0,2.4777e+05,8.0159,-0,0,-1.3676e+05,23.76,1.3676e+05,0,-0.2518,-50.536,0,-0,-0,0,1,1.485,-0.015,0.0127,0.025
-229.13,0,0,0,4.4645,0,1.7365e+05,5.489,-0,0,-1.4783e+05,157.37,1.478e+05,0,-34.73,-831.23,0,-0,-0,0,1,1.5,0,0.0127,0.025
