"p","U:0","U:1","U:2","k","nut","omega","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-235.28,0,0,0,3.7492e-06,0,2.5599e+05,0.0059435,-0,0,-2.3935,-3.0201,-6.4881,0,-8.8816,-19.081,0,-0,-0,0,1,0,0,0,0.025
-236.15,0,0,0,0.0030048,0,4.2082e+05,0.10663,-0,0,-4319.1,30.506,4318,0,-1.0432,-63.332,0,-0,-0,0,1,0.005,0.005,0,0.025
-239.9,0,0,0,0.0059026,0,4.2085e+05,0.14979,-0,0,3044.6,-245.45,-3039.9,0,4.6954,267.31,0,-0,-0,0,1,0.01,0.01,0,0.025
-248.6,0,0,0,0.10193,0,4.2164e+05,0.61726,-0,0,25411,-218.86,-25412,0,-0.32565,345.3,0,-0,-0,0,1,0.015,0.015,0,0.025
-254.69,0,0,0,0.41054,0,4.2418e+05,1.2458,-0,0,44663,-181.06,-44663,0,-0.062061,331.04,0,-0,-0,0,1,0.02,0.02,0,0.025
-255.59,0,0,0,0.91574,0,4.283e+05,1.863,-0,0,60927,-156.53,-60927,0,-0.27323,318.57,0,-0,-0,0,1,0.025,0.025,0,0.025
-248.6,0,0,0,1.5503,0,4.3342e+05,2.4251,-0,0,72800,-119.61,-72801,0,-0.97908,267.82,0,-0,-0,0,1,0.03,0.03,0,0.025
-230.11,0,0,0,2.1249,0,4.38e+05,2.8413,-0,0,81015,-45.558,-81017,0,-1.6649,133.54,0,-0,-0,0,1,0.035,0.035,0,0.025
-199.17,0,0,0,2.4503,0,4.4058e+05,3.0522,-0,0,82020,17.024,-82022,0,-1.7104,8.7351,0,-0,-0,0,1,0.04,0.04,0,0.025
-158.76,0,0,0,2.4634,0,4.4068e+05,3.0604,-0,0,74023,108.27,-74024,0,-1.3874,-186.21,0,-0,-0,0,1,0.045,0.045,0,0.025
-114.83,0,0,0,2.23,0,4.3884e+05,2.9109,-0,0,61738,155.04,-61739,0,-0.92947,-292.93,0,-0,-0,0,1,0.05,0.05,0,0.025
-72.663,0,0,0,1.8552,0,4.3585e+05,2.6539,-0,0,44446,183.72,-44447,0,-0.46407,-362.67,0,-0,-0,0,1,0.055,0.055,0,0.025
-36.01,0,0,0,1.4384,0,4.3252e+05,2.3356,-0,0,34279,191.05,-34280,0,-0.28611,-382.9,0,-0,-0,0,1,0.06,0.06,0,0.025
-6.7304,0,0,0,1.0423,0,4.2932e+05,1.9834,-0,0,11432,201.6,-11432,0,0.048483,-402.19,0,-0,-0,0,1,0.065,0.065,0,0.025
15.567,0,0,0,0.79306,0,4.273e+05,1.7361,-0,0,-763.54,189.86,764.15,0,0.61455,-381.11,0,-0,-0,0,1,0.07,0.07,0,0.025
29.866,0,0,0,0.87237,0,4.2794e+05,1.82,-0,0,-22891,144.63,22892,0,0.65257,-283.47,0,-0,-0,0,1,0.075,0.075,0,0.025
38.888,0,0,0,1.0025,0,4.29e+05,1.9511,-0,0,-32621,127.2,32622,0,0.53069,-241.16,0,-0,-0,0,1,0.08,0.08,0,0.025
44.036,0,0,0,1.135,0,4.3007e+05,2.0765,-0,0,-41539,110.67,41540,0,0.46612,-203.78,0,-0,-0,0,1,0.085,0.085,0,0.025
46.282,0,0,0,1.2626,0,4.311e+05,2.1905,-0,0,-56863,80.897,56863,0,0.33211,-139.86,0,-0,-0,0,1,0.09,0.09,0,0.025
